datetime,total inflows,pool elevation,total release
2/26/1964,5204.72,3414.69995,4010
2/27/1964,4491.92,3414.69995,4060
2/28/1964,5222.82,3414.80005,4080
2/29/1964,4400.36,3414.80005,4100
3/1/1964,4222.36,3414.80005,4030
3/2/1964,4187.74,3414.80005,4010
3/3/1964,4270.93,3414.80005,4010
3/4/1964,4287.06,3414.80005,4010
3/5/1964,4348.06,3414.80005,4010
3/6/1964,4403.36,3414.80005,4030
3/7/1964,4355.96,3414.80005,4030
3/8/1964,4414.61,3414.80005,4010
3/9/1964,4380.33,3414.80005,4010
3/10/1964,5044.20,3414.8999,4030
3/11/1964,4289.96,3414.8999,4030
3/12/1964,4289.96,3414.8999,4030
3/13/1964,4200.56,3414.8999,4050
3/14/1964,4232.83,3414.8999,4050
3/15/1964,4166.28,3414.8999,4050
3/16/1964,4292.82,3414.8999,4050
3/17/1964,4323.07,3414.8999,4050
3/18/1964,4260.56,3414.8999,4050
3/19/1964,4362.90,3414.8999,4050
3/20/1964,4445.08,3414.8999,4050
3/21/1964,4507.09,3414.8999,4050
3/22/1964,4485.41,3414.8999,4050
3/23/1964,4487.43,3414.8999,4050
3/24/1964,4470.29,3414.8999,4050
3/25/1964,4514.66,3414.8999,4050
3/26/1964,5867.76,3414.8999,6480
3/27/1964,6873.70,3414.6001,12800
3/28/1964,4654.50,3413.6001,18900
3/29/1964,6200.59,3412.80005,19000
3/30/1964,4737.73,3411.80005,19100
3/31/1964,4527.17,3410.80005,18600
4/1/1964,4175.78,3409.8999,16700
4/2/1964,5181.33,3409.1001,16900
4/3/1964,5731.80,3408.3999,16000
4/4/1964,4199.69,3407.69995,12300
4/5/1964,4541.82,3407,12200
4/6/1964,9623.82,3407,12200
4/7/1964,8110.67,3406.80005,12200
4/8/1964,6647.78,3406.3999,12200
4/9/1964,7461.78,3406.1001,12200
4/10/1964,8634.40,3406,12200
4/11/1964,4256.19,3405.30005,12200
4/12/1964,6877.96,3405,12100
4/13/1964,6057.38,3404.6001,12100
4/14/1964,5988.01,3404.19995,12100
4/15/1964,6028.54,3403.80005,12100
4/16/1964,4780.61,3403.19995,12000
4/17/1964,5036.99,3402.69995,11500
4/18/1964,5427.53,3402.30005,10700
4/19/1964,6574.78,3402,10700
4/20/1964,7202.42,3401.69995,10800
4/21/1964,7657.96,3401.3999,10800
4/22/1964,8141.81,3401.19995,10800
4/23/1964,7880.00,3401,10800
4/24/1964,7780.02,3400.80005,10800
4/25/1964,7273.61,3400.5,10800
4/26/1964,8262.64,3400.30005,10800
4/27/1964,10585.27,3400.19995,13400
4/28/1964,12365.13,3399.80005,20000
4/29/1964,9007.59,3399,19600
4/30/1964,8229.54,3398.19995,19300
5/1/1964,6929.01,3397.3999,17000
5/2/1964,5515.27,3396.69995,12700
5/3/1964,9023.75,3396.5,12500
5/4/1964,9000.58,3396.1001,13000
5/5/1964,10534.07,3395.80005,13900
5/6/1964,10256.54,3395.6001,13000
5/7/1964,9503.80,3395.3999,12800
5/8/1964,8603.59,3395.1001,12500
5/9/1964,8825.17,3394.80005,12500
5/10/1964,9664.94,3394.6001,12500
5/11/1964,7655.61,3394.5,8100
5/12/1964,7470.18,3395,1060
5/13/1964,7250.12,3395.5,1020
5/14/1964,6786.79,3395.8999,1000
5/15/1964,7956.97,3396.3999,990
5/16/1964,9323.27,3397,990
5/17/1964,9937.77,3397.5,990
5/18/1964,14809.38,3398.5,990
5/19/1964,20165.75,3399.8999,1000
5/20/1964,25290.12,3401.69995,1000
5/21/1964,30987.56,3404,1010
5/22/1964,36591.14,3406.69995,1010
5/23/1964,40855.24,3409.6001,1020
5/24/1964,47061.90,3413,1020
5/25/1964,47939.26,3416.19995,1030
5/26/1964,49600.61,3419.3999,1040
5/27/1964,49960.85,3422.6001,1040
5/28/1964,50765.49,3425.80005,1030
5/29/1964,52184.87,3429,1000
5/30/1964,51183.20,3432,1010
5/31/1964,46682.88,3434.69995,1010
6/1/1964,41117.44,3436.80005,1020
6/2/1964,36698.12,3438.69995,1030
6/3/1964,32354.63,3440.30005,1030
6/4/1964,30268.25,3441.80005,1030
6/5/1964,26952.26,3443.1001,1030
6/6/1964,25174.17,3444.30005,1040
6/7/1964,25173.35,3445.5,1040
6/8/1964,25716.02,3446.69995,1040
6/9/1964,27097.73,3448,933
6/10/1964,31172.40,3449.5,978
6/11/1964,37076.51,3451.28003,990
6/12/1964,33728.49,3452.86011,980
6/13/1964,30824.09,3454.29004,990
6/14/1964,33210.57,3455.78003,1000
6/15/1964,33238.00,3457.21997,1000
6/16/1964,30677.72,3458.53003,1000
6/17/1964,28408.95,3459.71997,1010
6/18/1964,28293.20,3460.91992,1010
6/19/1964,28613.59,3462.12012,1010
6/20/1964,27971.06,3463.30005,1000
6/21/1964,28518.91,3464.53003,1000
6/22/1964,26361.98,3465.62988,1010
6/23/1964,23166.75,3466.53003,980
6/24/1964,23048.26,3467.44995,980
6/25/1964,22113.86,3468.31006,980
6/26/1964,20107.87,3469.08008,980
6/27/1964,18724.77,3469.79004,990
6/28/1964,18989.91,3470.51001,990
6/29/1964,19418.96,3471.25,990
6/30/1964,19413.47,3471.97998,980
7/1/1964,20509.43,3472.71997,990
7/2/1964,20857.16,3473.47998,990
7/3/1964,20470.11,3474.19995,1000
7/4/1964,19208.64,3474.83008,1000
7/5/1964,19247.45,3475.5,1010
7/6/1964,18442.73,3476.12012,1010
7/7/1964,17281.28,3476.67993,1020
7/8/1964,16168.81,3477.20996,1010
7/9/1964,14675.48,3477.66992,1000
7/10/1964,13450.04,3478.08008,950
7/11/1964,12828.17,3478.48999,950
7/12/1964,12307.58,3478.87988,950
7/13/1964,12048.11,3479.26001,950
7/14/1964,11805.04,3479.59009,960
7/15/1964,12335.24,3479.95996,940
7/16/1964,11293.90,3480.33008,930
7/17/1964,10581.04,3480.6499,930
7/18/1964,10077.96,3480.95996,920
7/19/1964,9389.10,3481.21997,920
7/20/1964,10316.12,3481.51001,930
7/21/1964,10558.84,3481.81006,960
7/22/1964,10030.82,3482.1001,970
7/23/1964,8294.03,3482.30005,980
7/24/1964,8288.26,3482.54004,980
7/25/1964,7827.15,3482.76001,980
7/26/1964,7574.48,3482.93994,1000
7/27/1964,7747.49,3483.12012,1000
7/28/1964,9418.76,3483.41992,1000
7/29/1964,9522.49,3483.68994,1000
7/30/1964,8519.36,3483.91992,1010
7/31/1964,8345.33,3484.1499,1050
8/1/1964,8588.43,3484.43994,1050
8/2/1964,10776.39,3484.82007,1030
8/3/1964,15876.09,3485.43994,1020
8/4/1964,16804.82,3486.06006,1010
8/5/1964,15940.34,3486.58008,1010
8/6/1964,12003.10,3486.98999,1010
8/7/1964,11679.07,3487.3501,1010
8/8/1964,10083.88,3487.65991,1010
8/9/1964,9283.09,3487.91992,1010
8/10/1964,8317.29,3488.15991,1020
8/11/1964,7317.09,3488.34009,1020
8/12/1964,7370.71,3488.55005,1020
8/13/1964,7343.65,3488.76001,1020
8/14/1964,12607.74,3489.1001,1020
8/15/1964,17157.07,3489.80005,1020
8/16/1964,12792.20,3490.17993,1020
8/17/1964,7570.60,3490.17993,3010
8/18/1964,10652.40,3490.3501,5940
8/19/1964,7992.20,3490.36011,5970
8/20/1964,7884.09,3490.37012,6060
8/21/1964,7422.78,3490.37012,6060
8/22/1964,6954.31,3490.34009,6060
8/23/1964,6738.40,3490.30005,6060
8/24/1964,6395.66,3490.25,6030
8/25/1964,5902.85,3490.19995,5010
8/26/1964,5150.96,3490.16992,3750
8/27/1964,5352.66,3490.17993,3750
8/28/1964,5959.40,3490.25,3810
8/29/1964,4569.31,3490.21997,3810
8/30/1964,4865.90,3490.20996,3730
8/31/1964,5224.75,3490.28003,2560
9/1/1964,3955.10,3490.28003,1800
9/2/1964,3609.57,3490.22998,2710
9/3/1964,3241.24,3490.22998,990
9/4/1964,3891.45,3490.21997,2640
9/5/1964,3979.52,3490.21997,2840
9/6/1964,3784.05,3490.20996,2880
9/7/1964,3546.56,3490.19995,2940
9/8/1964,3512.32,3490.19995,2390
9/9/1964,3905.42,3490.19995,2650
9/10/1964,4474.49,3490.19995,3090
9/11/1964,4378.03,3490.20996,2810
9/12/1964,4459.99,3490.21997,2840
9/13/1964,3618.86,3490.19995,2250
9/14/1964,3806.87,3490.20996,2500
9/15/1964,3873.02,3490.23999,2560
9/16/1964,4177.78,3490.23999,2470
9/17/1964,4176.98,3490.25,997
9/18/1964,5058.51,3490.25,2540
9/19/1964,4793.12,3490.23999,2500
9/20/1964,4499.32,3490.23999,2060
9/21/1964,13998.50,3490.98999,2010
9/22/1964,5967.23,3491.09009,2640
9/23/1964,6430.41,3491.15991,2380
9/24/1964,7721.16,3491.30005,2240
9/25/1964,6555.65,3491.3999,2020
9/26/1964,6605.48,3491.48999,3030
9/27/1964,6873.23,3491.61011,3070
9/28/1964,7716.87,3491.71997,3090
9/29/1964,6252.75,3491.71997,4120
9/30/1964,6462.60,3491.68994,5850
10/1/1964,6688.01,3491.68994,5730
10/2/1964,6293.51,3491.66992,5330
10/3/1964,6601.47,3491.65991,5580
10/4/1964,6195.54,3491.62012,5640
10/5/1964,6301.37,3491.6001,5580
10/6/1964,6454.59,3491.58008,5580
10/7/1964,6582.31,3491.61011,4540
10/8/1964,6039.82,3491.62988,3940
10/9/1964,6395.69,3491.66992,4080
10/10/1964,5827.95,3491.68994,4090
10/11/1964,4497.42,3491.6001,4980
10/12/1964,5569.19,3491.61011,4630
10/13/1964,5127.08,3491.61011,4020
10/14/1964,5119.08,3491.6001,4070
10/15/1964,5407.31,3491.61011,4030
10/16/1964,4816.43,3491.57007,4080
10/17/1964,6078.47,3491.63989,3660
10/18/1964,5307.12,3491.6499,3660
10/19/1964,5158.89,3491.63989,3840
10/20/1964,5733.35,3491.66992,3640
10/21/1964,5633.15,3491.68994,3750
10/22/1964,5749.99,3491.69995,4010
10/23/1964,5981.03,3491.71997,4120
10/24/1964,6109.16,3491.75,4240
10/25/1964,5788.20,3491.77002,4100
10/26/1964,5830.93,3491.79004,4120
10/27/1964,5380.34,3491.77002,4220
10/28/1964,6399.03,3491.82007,4200
10/29/1964,5619.23,3491.81006,4240
10/30/1964,6885.21,3491.91992,3720
10/31/1964,5401.03,3491.90991,3950
11/1/1964,6016.64,3491.93994,3970
11/2/1964,5814.76,3491.96997,3700
11/3/1964,5750.42,3491.92993,5180
11/4/1964,5800.41,3491.86011,5940
11/5/1964,6989.84,3491.88989,5330
11/6/1964,6105.39,3491.92993,3420
11/7/1964,6867.25,3491.90991,6130
11/8/1964,6415.26,3491.87012,5970
11/9/1964,5617.40,3491.77002,6160
11/10/1964,7750.82,3491.83008,6260
11/11/1964,5584.82,3491.73999,6190
11/12/1964,5221.60,3491.62988,6130
11/13/1964,6149.94,3491.59009,6100
11/14/1964,6169.78,3491.55005,6130
11/15/1964,7325.68,3491.6001,6160
11/16/1964,5445.19,3491.5,6190
11/17/1964,6282.77,3491.44995,6160
11/18/1964,6852.41,3491.41992,6160
11/19/1964,7598.35,3491.42993,6130
11/20/1964,7619.54,3491.43994,6130
11/21/1964,7776.54,3491.44995,6290
11/22/1964,7759.92,3491.45996,6290
11/23/1964,7380.77,3491.44995,6290
11/24/1964,7463.31,3491.46997,6190
11/25/1964,7243.67,3491.46997,6290
11/26/1964,6632.78,3491.41992,6320
11/27/1964,7532.00,3491.43994,6350
11/28/1964,6661.13,3491.40991,5940
11/29/1964,7780.73,3491.45996,5850
11/30/1964,7331.03,3491.46997,5850
12/1/1964,7337.07,3491.47998,5910
12/2/1964,7866.54,3491.54004,5910
12/3/1964,7897.13,3491.59009,6060
12/4/1964,7056.16,3491.58008,6060
12/5/1964,7601.21,3491.61011,6060
12/6/1964,7640.58,3491.63989,6060
12/7/1964,7364.56,3491.6499,6030
12/8/1964,7419.69,3491.6499,6130
12/9/1964,7464.59,3491.66992,6130
12/10/1964,7014.37,3491.66992,6130
12/11/1964,6073.24,3491.58008,6580
12/12/1964,8438.86,3491.6499,7190
12/13/1964,6279.58,3491.55005,6740
12/14/1964,7550.47,3491.57007,5910
12/15/1964,6690.54,3491.53003,5700
12/16/1964,7141.61,3491.52002,6140
12/17/1964,5752.89,3491.41992,6030
12/18/1964,4212.18,3491.27002,6000
12/19/1964,3959.38,3491.14,5820
12/20/1964,3807.74,3491,5780
12/21/1964,5034.21,3490.93994,5910
12/22/1964,6800.51,3490.90991,5940
12/23/1964,8784.03,3490.98999,5940
12/24/1964,7973.54,3491.07007,4840
12/25/1964,10308.96,3491.40991,2530
12/26/1964,10084.43,3491.63989,3380
12/27/1964,10721.98,3491.84009,4230
12/28/1964,13065.85,3491.98999,9400
12/29/1964,12891.51,3491.98999,13200
12/30/1964,11982.36,3491.92993,12600
12/31/1964,11770.28,3491.93994,10100
1/1/1965,10011.34,3491.94995,8520
1/2/1965,9636.75,3491.96997,8520
1/3/1965,8102.78,3491.88989,8490
1/4/1965,7493.81,3491.8501,7270
1/5/1965,6945.28,3491.77002,7870
1/6/1965,7473.39,3491.72998,8080
1/7/1965,7686.24,3491.6499,8790
1/8/1965,9114.32,3491.62012,9540
1/9/1965,10011.25,3491.63989,9540
1/10/1965,11131.69,3491.68994,9460
1/11/1965,10513.10,3491.71997,9460
1/12/1965,11173.20,3491.75,8960
1/13/1965,9903.78,3491.75,8830
1/14/1965,10086.59,3491.75,9460
1/15/1965,9395.77,3491.70996,9350
1/16/1965,9881.93,3491.73999,8850
1/17/1965,9897.41,3491.75,8990
1/18/1965,9832.30,3491.73999,9240
1/19/1965,9708.47,3491.70996,9880
1/20/1965,9264.70,3491.65991,9950
1/21/1965,9576.13,3491.75,7250
1/22/1965,8059.76,3491.75,7110
1/23/1965,9926.72,3491.75,9950
1/24/1965,9456.31,3491.70996,9950
1/25/1965,9264.36,3491.63989,9990
1/26/1965,9818.92,3491.6001,9990
1/27/1965,9592.50,3491.56006,9690
1/28/1965,10017.00,3491.57007,9390
1/29/1965,9472.66,3491.52002,9730
1/30/1965,9584.23,3491.48999,9650
1/31/1965,8922.39,3491.40991,9690
2/1/1965,10016.33,3491.42993,9650
2/2/1965,9448.63,3491.46997,7900
2/3/1965,10855.09,3491.55005,8350
2/4/1965,11660.53,3491.6001,9650
2/5/1965,11930.05,3491.65991,9680
2/6/1965,10885.16,3491.65991,9650
2/7/1965,11456.26,3491.73999,9610
2/8/1965,10383.68,3491.80005,8250
2/9/1965,10650.21,3491.84009,9120
2/10/1965,11505.19,3491.93994,9320
2/11/1965,10328.51,3491.91992,10100
2/12/1965,10978.43,3491.75,14800
2/13/1965,10540.68,3491.55005,14800
2/14/1965,10735.85,3491.37012,14900
2/15/1965,9900.80,3491.15991,14600
2/16/1965,9157.95,3491.1001,9720
2/17/1965,8444.48,3491.02002,9420
2/18/1965,8945.61,3491.07007,7490
2/19/1965,8944.72,3491.16992,5910
2/20/1965,8807.65,3491.15991,8080
2/21/1965,9200.53,3491.1499,8850
2/22/1965,9994.95,3491.20996,8630
2/23/1965,10832.13,3491.34009,7640
2/24/1965,8884.33,3491.3501,7060
2/25/1965,10907.37,3491.45996,8180
2/26/1965,10411.74,3491.59009,6500
2/27/1965,10005.98,3491.73999,5350
2/28/1965,10670.31,3491.90991,6230
3/1/1965,9406.99,3491.93994,7940
3/2/1965,9493.53,3491.8999,9530
3/3/1965,10340.12,3491.57007,19100
3/4/1965,9996.24,3491.32007,17200
3/5/1965,9318.99,3491.40991,6580
3/6/1965,9452.99,3491.52002,5880
3/7/1965,8361.36,3491.58008,5780
3/8/1965,8106.83,3491.62012,6380
3/9/1965,8309.48,3491.66992,6570
3/10/1965,9011.96,3491.78003,6260
3/11/1965,8153.05,3491.8501,5580
3/12/1965,8984.91,3491.93994,6560
3/13/1965,8801.37,3492.01001,6510
3/14/1965,8449.39,3492.05005,7250
3/15/1965,8698.26,3492.1001,7460
3/16/1965,5649.92,3491.58008,15100
3/17/1965,10507.79,3490.94995,27100
3/18/1965,12603.43,3490.76001,19900
3/19/1965,9542.33,3490.83008,7240
3/20/1965,9521.77,3490.91992,6450
3/21/1965,9415.97,3491.03003,6030
3/22/1965,9165.78,3491.1001,6780
3/23/1965,8586.13,3491.1001,7610
3/24/1965,9378.51,3491.16992,7940
3/25/1965,8979.42,3491.21997,7740
3/26/1965,10530.67,3491.32007,7760
3/27/1965,11828.51,3491.51001,6740
3/28/1965,11661.45,3491.68994,6420
3/29/1965,10152.11,3491.75,7620
3/30/1965,9991.18,3491.82007,7520
3/31/1965,10174.78,3491.87988,7880
4/1/1965,11033.26,3491.92993,10300
4/2/1965,10438.85,3491.8501,12100
4/3/1965,12284.33,3491.83008,13400
4/4/1965,13287.96,3491.8501,13000
4/5/1965,15390.56,3491.8999,15100
4/6/1965,16127.43,3491.8501,17900
4/7/1965,17780.29,3492.03003,14400
4/8/1965,14478.08,3492.23999,8380
4/9/1965,14333.99,3492.5,7630
4/10/1965,11444.38,3492.08008,19800
4/11/1965,12990.14,3491.25,33500
4/12/1965,14935.89,3491.09009,20200
4/13/1965,13994.72,3491.30005,8610
4/14/1965,12722.50,3491.37988,9860
4/15/1965,12768.87,3491.41992,11200
4/16/1965,12503.10,3491.28003,15600
4/17/1965,12707.24,3491.20996,14200
4/18/1965,13847.67,3491.23999,13600
4/19/1965,13719.93,3491.22998,13500
4/20/1965,15784.63,3491.23999,15300
4/21/1965,19509.92,3491.57007,12700
4/22/1965,19885.60,3491.84009,12500
4/23/1965,27251.39,3491.66992,34500
4/24/1965,31673.46,3491.55005,37500
4/25/1965,33942.11,3491.5,37200
4/26/1965,36521.44,3491.45996,40700
4/27/1965,36307.27,3491.41992,38200
4/28/1965,36897.50,3491.32007,40800
4/29/1965,33923.30,3491.06006,40100
4/30/1965,30856.33,3490.90991,34400
5/1/1965,28494.38,3490.96997,25500
5/2/1965,28052.19,3491.06006,25100
5/3/1965,28632.70,3491.3501,20600
5/4/1965,36840.18,3491.17993,44200
5/5/1965,42854.62,3491.69995,34000
5/6/1965,39166.40,3491.6499,39100
5/7/1965,39598.36,3491.54004,40300
5/8/1965,39146.45,3491.27002,44800
5/9/1965,36445.59,3491.21997,35900
5/10/1965,33888.09,3491.37988,28900
5/11/1965,29702.88,3491.15991,32800
5/12/1965,28552.18,3491.3501,22700
5/13/1965,25683.95,3491.48999,21100
5/14/1965,24336.84,3491.37988,26700
5/15/1965,25580.99,3491.53003,23300
5/16/1965,26386.53,3491.45996,28200
5/17/1965,29977.39,3491.46997,30600
5/18/1965,28937.26,3491.73999,23100
5/19/1965,29707.59,3491.98999,25700
5/20/1965,34136.63,3492.31006,28500
5/21/1965,38398.81,3492.40991,37300
5/22/1965,42469.46,3492.57007,40600
5/23/1965,48346.94,3492.70996,47600
5/24/1965,55224.07,3492.83008,56000
5/25/1965,61668.34,3493.21997,55600
5/26/1965,58274.24,3493.28003,55800
5/27/1965,55112.27,3493.1499,56600
5/28/1965,51481.11,3492.91992,55600
5/29/1965,46446.99,3492.47998,54900
5/30/1965,42256.34,3492.17993,48000
5/31/1965,36163.78,3491.82007,42200
6/1/1965,36368.64,3492,30600
6/2/1965,33210.49,3492.05005,30200
6/3/1965,34304.85,3491.92993,37200
6/4/1965,36769.14,3492.01001,35300
6/5/1965,37341.44,3492.06006,36700
6/6/1965,39727.00,3491.86011,45000
6/7/1965,43533.66,3491.6499,49200
6/8/1965,41744.87,3491.54004,43900
6/9/1965,42123.27,3491.62012,42200
6/10/1965,45008.83,3491.82007,42000
6/11/1965,49674.42,3492.03003,46000
6/12/1965,52927.24,3492.05005,54000
6/13/1965,57627.65,3492.20996,58100
6/14/1965,59964.53,3492.68994,51600
6/15/1965,66957.40,3493.63989,45500
6/16/1965,71420.51,3495.1499,35700
6/17/1965,72801.00,3496.52002,36700
6/18/1965,75663.01,3497.83008,39400
6/19/1965,77540.44,3498.8999,47700
6/20/1965,75945.15,3499.87988,47500
6/21/1965,75026.59,3500.77002,47900
6/22/1965,74408.81,3501.62988,48500
6/23/1965,74324.53,3502.53003,48500
6/24/1965,70409.03,3503.20996,48300
6/25/1965,66139.37,3503.90991,43900
6/26/1965,63425.62,3505.19995,26900
6/27/1965,62649.32,3506.96997,13000
6/28/1965,59694.26,3508.55005,11700
6/29/1965,53935.79,3509.79004,13200
6/30/1965,50448.03,3510.8501,15000
7/1/1965,49316.88,3511.83008,14900
7/2/1965,48125.67,3512.81006,14900
7/3/1965,46487.91,3513.67993,15500
7/4/1965,45556.43,3514.6001,15100
7/5/1965,45209.33,3515.47998,15100
7/6/1965,44556.30,3516.3501,14600
7/7/1965,43082.23,3517.25,11300
7/8/1965,42777.39,3518.15991,10900
7/9/1965,41210.80,3519.04004,9800
7/10/1965,40451.26,3519.96997,7890
7/11/1965,38798.49,3520.81006,8560
7/12/1965,37019.44,3521.55005,9210
7/13/1965,35421.82,3522.32007,9460
7/14/1965,35512.98,3523.05005,10800
7/15/1965,38712.09,3523.82007,11100
7/16/1965,35047.73,3524.40991,11400
7/17/1965,31320.72,3524.90991,10100
7/18/1965,33237.09,3525.61011,10200
7/19/1965,28832.23,3526.09009,11400
7/20/1965,27274.33,3526.54004,10900
7/21/1965,28551.94,3527.07007,9280
7/22/1965,28081.39,3527.54004,10500
7/23/1965,27864.21,3528.02002,10300
7/24/1965,25962.57,3528.3999,10600
7/25/1965,25387.96,3528.71997,13100
7/26/1965,28262.60,3529.16992,13700
7/27/1965,28576.91,3529.55005,13500
7/28/1965,29114.19,3529.96997,13000
7/29/1965,29135.37,3530.37988,12900
7/30/1965,27289.14,3530.71997,12400
7/31/1965,24192.95,3530.90991,14200
8/1/1965,23561.39,3531.18994,13100
8/2/1965,23850.86,3531.53003,11200
8/3/1965,27598.43,3532.06006,10600
8/4/1965,33566.00,3532.72998,11200
8/5/1965,26576.15,3533.06006,12400
8/6/1965,23453.74,3533.25,14200
8/7/1965,21325.52,3533.47998,11000
8/8/1965,19009.07,3533.66992,9800
8/9/1965,17396.00,3533.80005,10800
8/10/1965,16316.85,3533.8999,11300
8/11/1965,12885.19,3533.80005,12800
8/12/1965,14060.29,3533.83008,11800
8/13/1965,12146.36,3533.76001,11900
8/14/1965,10761.14,3533.6499,12000
8/15/1965,12173.11,3533.63989,12200
8/16/1965,11734.19,3533.61011,12100
8/17/1965,10749.38,3533.51001,13100
8/18/1965,11597.36,3533.37012,16000
8/19/1965,12970.38,3533.28003,16600
8/20/1965,13288.45,3533.18994,16200
8/21/1965,13737.48,3533.08008,17500
8/22/1965,13193.12,3532.91992,16800
8/23/1965,13965.30,3532.78003,17300
8/24/1965,13607.23,3532.62988,17300
8/25/1965,12823.93,3532.40991,18200
8/26/1965,12454.01,3532.18994,18500
8/27/1965,12325.03,3531.96997,18200
8/28/1965,12130.80,3531.72998,18400
8/29/1965,13673.78,3531.63989,17300
8/30/1965,10179.50,3531.38989,16500
8/31/1965,11886.31,3531.34009,12700
9/1/1965,11509.26,3531.21997,14500
9/2/1965,10339.83,3531.02002,14500
9/3/1965,9862.39,3530.80005,14700
9/4/1965,11308.11,3530.69995,14500
9/5/1965,11921.95,3530.63989,14500
9/6/1965,9642.85,3530.43994,14500
9/7/1965,11862.52,3530.3501,14600
9/8/1965,10104.19,3530.13989,14600
9/9/1965,12405.23,3530.06006,14500
9/10/1965,13358.65,3529.97998,14700
9/11/1965,11863.45,3529.8501,14500
9/12/1965,12449.89,3529.75,14200
9/13/1965,12390.31,3529.62988,14700
9/14/1965,12101.93,3529.59009,12200
9/15/1965,10655.59,3529.5,11600
9/16/1965,10774.83,3529.48999,10900
9/17/1965,8559.02,3529.34009,12100
9/18/1965,10398.13,3529.31006,12400
9/19/1965,10413.41,3529.26001,12600
9/20/1965,10902.14,3529.18994,12000
9/21/1965,15475.39,3529.27002,11800
9/22/1965,15476.23,3529.36011,11500
9/23/1965,17588.27,3529.53003,10600
9/24/1965,16278.08,3529.66992,9740
9/25/1965,15507.84,3529.78003,10200
9/26/1965,14440.08,3529.8501,9800
9/27/1965,14599.07,3529.92993,10300
9/28/1965,14229.89,3529.97998,10400
9/29/1965,15015.75,3530.07007,10700
9/30/1965,14415.13,3530.12012,10500
10/1/1965,14127.56,3530.18994,10300
10/2/1965,13907.83,3530.40991,5700
10/3/1965,12786.91,3530.61011,4390
10/4/1965,11798.40,3530.75,5080
10/5/1965,14200.67,3530.80005,11700
10/6/1965,13920.41,3530.83008,11400
10/7/1965,13652.41,3530.84009,11800
10/8/1965,13609.54,3530.91992,9770
10/9/1965,12545.49,3530.94995,9690
10/10/1965,11605.59,3530.98999,8810
10/11/1965,11072.28,3531.05005,7910
10/12/1965,11057.89,3531.08008,8860
10/13/1965,10812.87,3531.02002,11200
10/14/1965,10446.17,3530.97998,10300
10/15/1965,10949.50,3530.95996,11000
10/16/1965,13822.29,3531.12988,10200
10/17/1965,15537.16,3531.16992,14000
10/18/1965,18143.35,3531.25,15700
10/19/1965,18535.37,3531.30005,15500
10/20/1965,17080.17,3531.30005,15400
10/21/1965,16285.08,3531.34009,13600
10/22/1965,14350.72,3531.36011,12200
10/23/1965,13553.30,3531.3999,10800
10/24/1965,12934.24,3531.42993,10500
10/25/1965,12897.85,3531.42993,11600
10/26/1965,12835.02,3531.46997,10500
10/27/1965,12579.09,3531.43994,11800
10/28/1965,13201.61,3531.46997,11400
10/29/1965,12849.24,3531.5,10800
10/30/1965,12844.96,3531.54004,10600
